ld,paper,chamber,number,date,motion,outcome,yeas,nays,absent,excused,vacant,yeas_required,url
2102,HP1417,House,637,2026-03-05,"ACC OTP-AM BY CA ""A""",PREVAILS,106,36,7,1,1,72,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280101127&chamber=House&serialnumber=637
2104,HP1419,Senate,745,2026-03-10,ACCEPT REPORT,PREVAILS,18,13,0,4,0,16,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280101131&chamber=Senate&serialnumber=745
2106,HP1421,Senate,917,2026-04-08,ACCEPT MAJORITY OUGHT TO PASS AS AMENDED REPORT,PREVAILS,20,14,0,1,0,18,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280101135&chamber=Senate&serialnumber=917
2106,HP1421,House,762,2026-04-08,ACC MAJ OTP AS AMENDED REP,PREVAILS,77,70,3,0,1,74,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280101135&chamber=House&serialnumber=762
2106,HP1421,House,798,2026-04-09,Enactment,PREVAILS,79,69,2,0,1,75,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280101135&chamber=House&serialnumber=798
2107,HP1422,Senate,793,2026-03-25,ACCEPT MAJORITY OUGHT TO PASS AS AMENDED REPORT,PREVAILS,21,14,0,0,0,18,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280101138&chamber=Senate&serialnumber=793
2107,HP1422,House,669,2026-03-24,ACC MAJ OTP AS AMENDED REP,PREVAILS,76,68,5,1,1,73,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280101138&chamber=House&serialnumber=669
2109,HP1424,Senate,766,2026-03-17,ACCEPT MAJORITY OUGHT TO PASS AS AMENDED REPORT,PREVAILS,22,11,0,2,0,17,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280101143&chamber=Senate&serialnumber=766
2112,HP1427,Senate,838,2026-04-02,ACCEPT MAJORITY OUGHT TO PASS AS AMENDED REPORT,PREVAILS,21,12,0,2,0,17,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280101150&chamber=Senate&serialnumber=838
2112,HP1427,House,697,2026-03-30,ACC MAJ OTP AS AMENDED REP,PREVAILS,76,62,12,0,1,70,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280101150&chamber=House&serialnumber=697
2114,HP1429,Senate,779,2026-03-19,ACCEPT MAJORITY OUGHT TO PASS AS AMENDED REPORT,PREVAILS,18,14,0,3,0,17,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280101155&chamber=Senate&serialnumber=779
2114,HP1429,House,661,2026-03-18,ACC MAJ OTP AS AMENDED REP,PREVAILS,75,67,7,1,1,72,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280101155&chamber=House&serialnumber=661
2114,HP1429,House,666,2026-03-24,Enactment,PREVAILS,75,68,6,1,1,72,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280101155&chamber=House&serialnumber=666
2115,HP1430,Senate,738,2026-03-05,ACCEPT MAJORITY OUGHT TO PASS AS AMENDED REPORT,PREVAILS,22,11,0,2,0,17,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280101157&chamber=Senate&serialnumber=738
2115,HP1430,House,648,2026-03-12,Enactment,PREVAILS,104,37,8,1,1,71,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280101157&chamber=House&serialnumber=648
2116,HP1431,House,699,2026-03-30,ACC MAJ OTP AS AMENDED REP,PREVAILS,73,66,11,0,1,70,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280101160&chamber=House&serialnumber=699
2121,HP1436,Senate,840,2026-04-02,ACCEPT REPORT 'A' OUGHT TO PASS AS AMENDED,PREVAILS,21,13,0,1,0,18,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280101167&chamber=Senate&serialnumber=840
2121,HP1436,House,700,2026-03-30,"acc report ""a"" otp-am by ca ""a""",PREVAILS,74,65,11,0,1,70,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280101167&chamber=House&serialnumber=700
2122,HP1437,Senate,866,2026-04-06,ACCEPT MAJORITY OUGHT TO PASS AS AMENDED REPORT,PREVAILS,20,12,0,3,0,17,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280101168&chamber=Senate&serialnumber=866
2122,HP1437,House,719,2026-04-02,PASSAGE TO BE ENGROSSED,PREVAILS,72,68,10,0,1,71,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280101168&chamber=House&serialnumber=719
2125,HP1440,House,647,2026-03-12,Enactment - Emer,PREVAILS,139,0,10,1,1,101,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280101171&chamber=House&serialnumber=647
2127,SP0813,Senate,722,2026-02-24,ACCEPT REPORT,PREVAILS,16,15,0,4,0,16,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280100812&chamber=Senate&serialnumber=722
2132,SP0826,Senate,825,2026-03-30,ACCEPT MAJORITY OUGHT TO PASS AS AMENDED REPORT,PREVAILS,19,12,0,4,0,16,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280100860&chamber=Senate&serialnumber=825
2136,SP0835,Senate,749,2026-03-10,INDEFINITELY POSTPONE,FAILS,13,18,0,4,0,16,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280100924&chamber=Senate&serialnumber=749
2136,SP0835,Senate,750,2026-03-10,TABLE UNTIL LATER,FAILS,13,18,0,4,0,16,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280100924&chamber=Senate&serialnumber=750
2136,SP0835,Senate,762,2026-03-12,PASSAGE TO BE ENGROSSED AS AMENDED,PREVAILS,34,0,0,1,0,18,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280100924&chamber=Senate&serialnumber=762
2136,SP0835,House,652,2026-03-17,ACC MAJ OTP AS AMENDED REP,PREVAILS,81,61,7,1,1,72,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280100924&chamber=House&serialnumber=652
2140,SP0858,Senate,827,2026-03-30,ACCEPT MAJORITY OUGHT TO PASS AS AMENDED REPORT,PREVAILS,19,11,0,5,0,16,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280100999&chamber=Senate&serialnumber=827
2140,SP0858,House,710,2026-04-02,ACC MAJ OTP AS AMENDED REP,PREVAILS,75,67,8,0,1,72,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280100999&chamber=House&serialnumber=710
2143,SP0861,Senate,761,2026-03-12,ACCEPT REPORT,PREVAILS,20,14,0,1,0,18,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280101058&chamber=Senate&serialnumber=761
2145,SP0863,Senate,769,2026-03-17,ACCEPT REPORT 'A' OUGHT TO PASS AS AMENDED,PREVAILS,20,13,0,2,0,17,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280101060&chamber=Senate&serialnumber=769
2145,SP0863,House,663,2026-03-19,"report ""a"" otp-am by ca ""a""",PREVAILS,73,66,10,1,1,70,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280101060&chamber=House&serialnumber=663
